Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més,Any
81075,Lliçà d'Amunt,1282,5307,1230,1149,4991,1297,2431,10298,2527,
81081,Lliçà de Vall,534,2203,598,471,2112,624,1005,4315,1222,
251288,Llimiana,8,52,28,3,35,19,11,87,47,
81069,Llinars del Vallès,816,3343,787,683,3325,984,1499,6668,1771,
170947,Llívia,90,535,123,93,446,130,183,981,253,
430727,"Lloar, el",6,33,19,9,29,11,15,62,30,
251291,Llobera,17,61,26,7,47,30,24,108,56,
430733,Llorac,3,34,15,4,33,11,7,67,26,
430748,Llorenç del Penedès,212,762,198,185,761,275,397,1523,473,
170950,Lloret de Mar,3066,13982,2480,2901,12900,3044,5967,26882,5524,
170963,"Llosses, les",19,83,19,19,61,17,38,144,36,
81094,Lluçà,21,93,20,30,88,21,51,181,41,
171024,Maçanet de Cabrenys,32,220,88,38,198,112,70,418,200,
171030,Maçanet de la Selva,518,2462,618,555,2188,665,1073,4650,1283,
170979,Madremanya,30,82,26,23,91,31,53,173,57,
170985,Maià de Montcal,30,171,50,32,119,47,62,290,97,
251333,Maials,46,336,135,45,225,133,91,561,268,
251305,Maldà,16,65,28,7,68,36,23,133,64,
81108,Malgrat de Mar,1369,6266,1645,1297,5836,2166,2666,12102,3811,
81115,Malla,26,89,24,17,86,31,43,175,55,
81120,Manlleu,1790,6987,1537,1731,6450,2078,3521,13437,3615,
81136,Manresa,6432,25227,6407,5970,24667,9011,12402,49894,15418,
430764,Marçà,40,208,66,36,179,65,76,387,131,
430751,Margalef,4,37,18,2,20,16,6,57,34,
82423,Marganell,17,85,29,6,90,39,23,175,68,
81141,Martorell,2546,9774,2009,2376,8844,2640,4922,18618,4649,
81154,Martorelles,361,1632,429,321,1530,528,682,3162,957,
430770,Mas de Barberans,23,182,83,27,161,102,50,343,185,
171002,Masarac,15,107,28,17,90,31,32,197,59,
430786,Masdenverge,70,345,131,65,327,132,135,672,263,
81167,"Masies de Roda, les",52,224,79,49,220,76,101,444,155,
81173,"Masies de Voltregà, les",232,1059,260,216,1054,320,448,2113,580,
430799,Masllorenç,44,192,47,32,138,51,76,330,98,
